condition,debug,device,elapsed_seconds,epochs,final_dev_loss,final_train_loss,seed
original,False,mps,7167.61,5,2.5794068215136736,2.74945857045485,2026
original,False,mps,7134.63,5,2.6285339534831063,2.787327635652627,2027
original,False,mps,7121.84,5,2.5897641971190604,2.748458637707552,2028
original,False,mps,5532.23,5,2.593434418852837,2.7532581550449904,2029
original,False,mps,5320.65,5,2.5842538931461743,2.7445469596599947,2030
AUX_target_ablation,False,mps,7439.16,5,4.2354698414635505,2.7207028979375742,2026
AUX_target_ablation,False,mps,7154.03,5,4.217735388012365,2.718472776512472,2027
AUX_target_ablation,False,mps,8888.02,5,4.196741248202172,2.7137834918504398,2028
AUX_target_ablation,False,mps,5508.01,5,4.092240381835626,2.7103280168589285,2029
AUX_target_ablation,False,mps,5405.82,5,4.205942788680057,2.7323366693195243,2030
AUX_matched_content,False,cpu,10102.28,5,2.9058678195523777,2.3967556505432954,2026
AUX_matched_content,False,cpu,9710.75,5,2.855337809995397,2.404193093818784,2027
AUX_matched_content,False,cpu,9712.34,5,2.8445428077919805,2.371826621286138,2028
AUX_matched_content,False,cpu,9755.99,5,2.866372880208855,2.3884208768020843,2029
AUX_matched_content,False,cpu,11529.09,5,2.8908679203432834,2.3725280655078484,2030
AUX_matched_function,False,cpu,12227.59,5,2.759634385590678,2.7345020467400456,2026
AUX_matched_function,False,cpu,10966.91,5,2.707575016709734,2.68144586430781,2027
AUX_matched_function,False,cpu,16264.38,5,2.7673867972856367,2.7234470086650284,2028
AUX_matched_function,False,cpu,11378.56,5,2.743144021376767,2.7208582501511422,2029
AUX_matched_function,False,cpu,9600.52,5,2.7328410360695874,2.7014079326065854,2030
AUX_identity_shuffle,False,cpu,13632.15,5,3.2312612451312397,2.847674430280167,2026
AUX_identity_shuffle,False,cpu,13017.64,5,3.21989010790098,2.8444235754597877,2027
AUX_identity_shuffle,False,cpu,17835.53,5,3.226945664557007,2.8203826019703406,2028
AUX_identity_shuffle,False,mps,5307.35,5,3.214723001619813,2.8418024426633823,2029
AUX_identity_shuffle,False,mps,5619.59,5,3.191162737185282,2.8306791281371604,2030
