best_dev_epoch,best_dev_loss,condition,device,elapsed_seconds,final_dev_loss,final_train_loss,max_length,seed
5,3.2312612451312397,AUX_identity_shuffle,cpu,13632.15,3.2312612451312397,2.847674430280167,128,2026
5,3.21989010790098,AUX_identity_shuffle,cpu,13017.64,3.21989010790098,2.8444235754597877,128,2027
4,3.2227122545326674,AUX_identity_shuffle,cpu,17835.53,3.226945664557007,2.8203826019703406,128,2028
5,3.214723001619813,AUX_identity_shuffle,mps,5307.35,3.214723001619813,2.8418024426633823,128,2029
5,3.191162737185282,AUX_identity_shuffle,mps,5619.59,3.191162737185282,2.8306791281371604,128,2030
5,2.9058678195523777,AUX_matched_content,cpu,10102.28,2.9058678195523777,2.3967556505432954,128,2026
5,2.855337809995397,AUX_matched_content,cpu,9710.75,2.855337809995397,2.404193093818784,128,2027
5,2.8445428077919805,AUX_matched_content,cpu,9712.34,2.8445428077919805,2.371826621286138,128,2028
5,2.866372880208855,AUX_matched_content,cpu,9755.99,2.866372880208855,2.3884208768020843,128,2029
4,2.8732425927567466,AUX_matched_content,cpu,11529.09,2.8908679203432834,2.3725280655078484,128,2030
5,2.759634385590678,AUX_matched_function,cpu,12227.59,2.759634385590678,2.7345020467400456,128,2026
5,2.707575016709734,AUX_matched_function,cpu,10966.91,2.707575016709734,2.68144586430781,128,2027
5,2.7673867972856367,AUX_matched_function,cpu,16264.38,2.7673867972856367,2.7234470086650284,128,2028
5,2.743144021376767,AUX_matched_function,cpu,11378.56,2.743144021376767,2.7208582501511422,128,2029
5,2.7328410360695874,AUX_matched_function,cpu,9600.52,2.7328410360695874,2.7014079326065854,128,2030
4,4.201015360732494,AUX_target_ablation,mps,7439.16,4.2354698414635505,2.7207028979375742,128,2026
5,4.217735388012365,AUX_target_ablation,mps,7154.03,4.217735388012365,2.718472776512472,128,2027
4,4.155096724091568,AUX_target_ablation,mps,8888.02,4.196741248202172,2.7137834918504398,128,2028
5,4.092240381835626,AUX_target_ablation,mps,5508.01,4.092240381835626,2.7103280168589285,128,2029
4,4.150803918987829,AUX_target_ablation,mps,5405.82,4.205942788680057,2.7323366693195243,128,2030
5,2.5794068215136736,original,mps,7167.61,2.5794068215136736,2.74945857045485,128,2026
5,2.6285339534831063,original,mps,7134.63,2.6285339534831063,2.787327635652627,128,2027
5,2.5897641971190604,original,mps,7121.84,2.5897641971190604,2.748458637707552,128,2028
5,2.593434418852837,original,mps,5532.23,2.593434418852837,2.7532581550449904,128,2029
5,2.5842538931461743,original,mps,5320.65,2.5842538931461743,2.7445469596599947,128,2030
