comparison,delta_comparison_minus_reference,metric,multiplicity_family,reference,seed
aux_ablated_exposure,-0.04999999999999999,verb_class_accuracy,diagnostic_interventions_6,intact_exposure,2026
aux_ablated_exposure,-0.12199010086059567,class_preference_score,diagnostic_interventions_6,intact_exposure,2026
aux_ablated_exposure,-0.0020000000000000018,verb_class_accuracy,diagnostic_interventions_6,intact_exposure,2027
aux_ablated_exposure,-0.025837688356637967,class_preference_score,diagnostic_interventions_6,intact_exposure,2027
aux_ablated_exposure,-0.010000000000000009,verb_class_accuracy,diagnostic_interventions_6,intact_exposure,2028
aux_ablated_exposure,-0.1377865540757775,class_preference_score,diagnostic_interventions_6,intact_exposure,2028
aux_shuffled_exposure,-0.04799999999999999,verb_class_accuracy,diagnostic_interventions_6,intact_exposure,2026
aux_shuffled_exposure,-0.12594114419445393,class_preference_score,diagnostic_interventions_6,intact_exposure,2026
aux_shuffled_exposure,-0.021999999999999964,verb_class_accuracy,diagnostic_interventions_6,intact_exposure,2027
aux_shuffled_exposure,-0.04871766804158689,class_preference_score,diagnostic_interventions_6,intact_exposure,2027
aux_shuffled_exposure,-0.028000000000000025,verb_class_accuracy,diagnostic_interventions_6,intact_exposure,2028
aux_shuffled_exposure,-0.1123865838050842,class_preference_score,diagnostic_interventions_6,intact_exposure,2028
matched_function_ablated_exposure,-0.030000000000000027,verb_class_accuracy,diagnostic_interventions_6,intact_exposure,2026
matched_function_ablated_exposure,-0.09678934749960896,class_preference_score,diagnostic_interventions_6,intact_exposure,2026
matched_function_ablated_exposure,-0.0040000000000000036,verb_class_accuracy,diagnostic_interventions_6,intact_exposure,2027
matched_function_ablated_exposure,-0.06343824378773572,class_preference_score,diagnostic_interventions_6,intact_exposure,2027
matched_function_ablated_exposure,-0.0020000000000000018,verb_class_accuracy,diagnostic_interventions_6,intact_exposure,2028
matched_function_ablated_exposure,-0.08880029796808953,class_preference_score,diagnostic_interventions_6,intact_exposure,2028
zero_shot,-0.15200000000000002,verb_class_accuracy,adaptation_check_2,intact_exposure,2026
zero_shot,-0.5314235145300626,class_preference_score,adaptation_check_2,intact_exposure,2026
zero_shot,-0.06999999999999998,verb_class_accuracy,adaptation_check_2,intact_exposure,2027
zero_shot,-0.3991053680591285,class_preference_score,adaptation_check_2,intact_exposure,2027
zero_shot,-0.08199999999999999,verb_class_accuracy,adaptation_check_2,intact_exposure,2028
zero_shot,-0.5456870388910174,class_preference_score,adaptation_check_2,intact_exposure,2028
