aux_cue,count,entropy_bits,mi_contribution_bits,most_associated_class,p_ditransitive_transfer_given_cue,p_intransitive_given_cue,p_mental_communication_given_cue,p_perception_given_cue,p_transitive_action_given_cue,reliability
do,97456,1.6895406712812238,0.030646950789957276,mental_communication,0.0313620669310527,0.17308392803090547,0.6005068824166183,0.08620592354694562,0.10884119907447785,0.6005068824166183
's,53701,2.0621764835869736,0.001161269318617533,mental_communication,0.042352919269693784,0.2932490433584403,0.3610844730790358,0.17672032549088978,0.1265932388019403,0.3610844730790358
can,34674,2.192804848574838,0.02038158486129875,perception,0.08598041901575995,0.21425172667368392,0.16317967499603478,0.34612778106210257,0.19046039825241878,0.34612778106210257
is,26669,1.9715045943404679,0.0010659033573781132,mental_communication,0.049622255966106144,0.2536977672796806,0.4545113698142212,0.12524604915359092,0.11692255778640122,0.4545113698142212
did,26280,2.2019642598111386,0.0018126650269415536,mental_communication,0.09392181109103015,0.29390278702558736,0.2941310758109008,0.167773233139922,0.1502710929325597,0.2941310758109008
're,25410,2.0633728951426415,0.004720727122799301,intransitive,0.06164289227742253,0.40592228234136746,0.2525725528775209,0.11240531234628627,0.16745696015740286,0.40592228234136746
are,25385,2.0023595398710317,0.010140492604527228,intransitive,0.06887247661250616,0.46899064500246185,0.190822255046775,0.0999507631708518,0.1713638601674052,0.46899064500246185
'll,19531,2.249569614800085,0.005272996169150456,intransitive,0.12243069598382267,0.3037602068241739,0.21381216883814985,0.14475132464740062,0.21524560370645301,0.3037602068241739
have,17561,2.116124278225511,0.0005673925847746607,mental_communication,0.052466763458308426,0.3039542232470749,0.3212628462436303,0.18302160731061576,0.13929455974037067,0.3212628462436303
was,16637,2.006405276005428,0.0007483606552274579,mental_communication,0.06475555154902492,0.24054208359626192,0.4513056281739235,0.11091078457886355,0.13248595210192615,0.4513056281739235
does,15003,2.034937497753969,0.001471694196374555,mental_communication,0.02409116657225684,0.28646163073539704,0.3400419846056446,0.22341808003731964,0.12598713804938189,0.3400419846056446
would,14914,1.6240881687500561,0.005969268647299689,mental_communication,0.0317433714343177,0.16716387892602153,0.6236382529413736,0.063788422217008,0.11366607448127912,0.6236382529413736
be,11694,1.9289966778822665,0.0006916400779340609,mental_communication,0.037318856068054546,0.30406531868507675,0.43470268883854146,0.10922070704911725,0.11469242935921002,0.43470268883854146
've,10795,2.216413069208209,0.0018448307654410955,mental_communication,0.07608242648761288,0.2258393146561704,0.2731650845103033,0.25454966427413755,0.1703635100717759,0.2731650845103033
'm,9892,2.0638483112833534,0.002311423132598138,intransitive,0.06736065490929304,0.41219869624538885,0.2378594168477437,0.10202637829096974,0.18055485370660468,0.41219869624538885
were,8469,2.03474315738351,0.00039307320926363753,mental_communication,0.06628106002478899,0.3310511715752818,0.3729563831670897,0.12187924216490587,0.10783214306793366,0.3729563831670897
ca,7258,2.190262851601499,0.0019183737293097967,perception,0.059431168652296675,0.2540458646098753,0.22525996832174092,0.2786998140623924,0.18256318435369465,0.2786998140623924
could,6622,2.193854338032402,0.000525709678422236,mental_communication,0.0713261378217224,0.22197901728432334,0.32085440410597027,0.1763906709940373,0.20944976979394672,0.32085440410597027
'd,5613,1.795073413580965,0.0011630319976092501,mental_communication,0.04443059389190633,0.1933042471730033,0.5599679458641261,0.10088148873653281,0.10141572433443148,0.5599679458641261
shall,5208,2.0570757367671195,0.005349248799047021,transitive_action,0.09049035601189905,0.32194607043469914,0.051914403608099034,0.20333941080510506,0.33230975914019767,0.33230975914019767
will,5097,2.137390489311471,0.0006939360552916247,intransitive,0.08226296695754486,0.33679772526718305,0.28110599078341014,0.10108834199431317,0.19874497499754878,0.33679772526718305
had,4486,2.0248079441582343,0.00015885066401937528,mental_communication,0.07006795143143589,0.2621142920797594,0.43232705803720617,0.11551743344101593,0.1199732650105826,0.43232705803720617
should,4341,2.119422486252409,0.0003889328323894261,mental_communication,0.0882928513871302,0.24300679175779902,0.37653965695867386,0.09427880741337631,0.1978818924830206,0.37653965695867386
might,4056,1.8949027023603788,0.0004183035775823773,mental_communication,0.03708266600960946,0.21079216459282987,0.5040039423432302,0.12677097449796723,0.12135025255636318,0.5040039423432302
has,3887,2.064641259154826,0.0005256702875668701,intransitive,0.04383596863350045,0.3664995500707032,0.2741997686077902,0.19964005656254016,0.115824656125466,0.3664995500707032
wo,2808,2.146805623402117,0.0009457338620817352,intransitive,0.07205123643479808,0.3723536737235367,0.1716776374310621,0.15958014588151576,0.22433730652908734,0.3723536737235367
been,2678,2.201585431052454,0.0001313302214469779,mental_communication,0.08972206677858609,0.23969408692408134,0.331841074426413,0.17552695392650625,0.16321581794441337,0.331841074426413
must,1614,2.0099123950194016,6.03364103728025e-05,mental_communication,0.04237550262913702,0.3108567893597278,0.38447262604392207,0.10733065264460254,0.1549644293226106,0.38447262604392207
being,885,1.9751876022495998,8.913337698995255e-05,mental_communication,0.06366197183098592,0.18422535211267604,0.4895774647887324,0.14028169014084507,0.12225352112676056,0.4895774647887324
