category,comparison,mean_delta,metric,n_pairs,random_control_count,random_delta_max,random_delta_min,random_delta_std,seed,target_worse_than_random_count
AUX,original_minus_target,0.7533361410008123,target_verb_logprob,600,,,,,2026,
AUX,original_minus_identity_shuffle,0.7194532222215396,target_verb_logprob,600,,,,,2026,
AUX,identity_shuffle_minus_target,0.03388291877927259,target_verb_logprob,600,,,,,2026,
AUX,target_minus_r01,-0.5982867387208777,target_verb_logprob,600,,,,,2026,
AUX,target_minus_r02,-0.49834402148534235,target_verb_logprob,600,,,,,2026,
AUX,target_minus_random_mean,-0.54831538010311,target_verb_logprob,600,2,-0.49834402148534235,-0.5982867387208777,0.049971358617767664,2026,2
AUX,original_minus_target,0.7580384688700239,target_verb_logprob_sum,600,,,,,2026,
AUX,original_minus_identity_shuffle,0.7241354720674765,target_verb_logprob_sum,600,,,,,2026,
AUX,identity_shuffle_minus_target,0.033902996802547325,target_verb_logprob_sum,600,,,,,2026,
AUX,target_minus_r01,-0.5929019052806931,target_verb_logprob_sum,600,,,,,2026,
AUX,target_minus_r02,-0.5010830891341902,target_verb_logprob_sum,600,,,,,2026,
AUX,target_minus_random_mean,-0.5469924972074416,target_verb_logprob_sum,600,2,-0.5010830891341902,-0.5929019052806931,0.045909408073251445,2026,2
AUX,original_minus_target,0.12333333333333334,verb_class_accuracy,600,,,,,2026,
AUX,original_minus_identity_shuffle,0.09666666666666666,verb_class_accuracy,600,,,,,2026,
AUX,identity_shuffle_minus_target,0.02666666666666667,verb_class_accuracy,600,,,,,2026,
AUX,target_minus_r01,-0.07333333333333333,verb_class_accuracy,600,,,,,2026,
AUX,target_minus_r02,-0.05,verb_class_accuracy,600,,,,,2026,
AUX,target_minus_random_mean,-0.06166666666666667,verb_class_accuracy,600,2,-0.05,-0.07333333333333333,0.011666666666666665,2026,2
AUX,original_minus_target,0.10456686034768797,class_preference_score,600,,,,,2026,
AUX,original_minus_identity_shuffle,0.13568605711558956,class_preference_score,600,,,,,2026,
AUX,identity_shuffle_minus_target,-0.031119196767901525,class_preference_score,600,,,,,2026,
AUX,target_minus_r01,-0.010867323738993384,class_preference_score,600,,,,,2026,
AUX,target_minus_r02,0.08176325886080381,class_preference_score,600,,,,,2026,
AUX,target_minus_random_mean,0.035447967560905215,class_preference_score,600,2,0.08176325886080381,-0.010867323738993384,0.046315291299898594,2026,1
AUX,original_minus_target,0.13,top1_surface_accuracy,600,,,,,2026,
AUX,original_minus_identity_shuffle,0.12333333333333334,top1_surface_accuracy,600,,,,,2026,
AUX,identity_shuffle_minus_target,0.006666666666666667,top1_surface_accuracy,600,,,,,2026,
AUX,target_minus_r01,-0.07166666666666667,top1_surface_accuracy,600,,,,,2026,
AUX,target_minus_r02,-0.06333333333333334,top1_surface_accuracy,600,,,,,2026,
AUX,target_minus_random_mean,-0.0675,top1_surface_accuracy,600,2,-0.06333333333333334,-0.07166666666666667,0.004166666666666666,2026,2
AUX,original_minus_target,0.10833333333333334,top3_surface_accuracy,600,,,,,2026,
AUX,original_minus_identity_shuffle,0.09833333333333333,top3_surface_accuracy,600,,,,,2026,
AUX,identity_shuffle_minus_target,0.01,top3_surface_accuracy,600,,,,,2026,
AUX,target_minus_r01,-0.05,top3_surface_accuracy,600,,,,,2026,
AUX,target_minus_r02,-0.07833333333333334,top3_surface_accuracy,600,,,,,2026,
AUX,target_minus_random_mean,-0.06416666666666668,top3_surface_accuracy,600,2,-0.05,-0.07833333333333334,0.014166666666666668,2026,2
AUX,original_minus_target,0.10833333333333334,top5_surface_accuracy,600,,,,,2026,
AUX,original_minus_identity_shuffle,0.075,top5_surface_accuracy,600,,,,,2026,
AUX,identity_shuffle_minus_target,0.03333333333333333,top5_surface_accuracy,600,,,,,2026,
AUX,target_minus_r01,-0.06333333333333334,top5_surface_accuracy,600,,,,,2026,
AUX,target_minus_r02,-0.09166666666666666,top5_surface_accuracy,600,,,,,2026,
AUX,target_minus_random_mean,-0.0775,top5_surface_accuracy,600,2,-0.06333333333333334,-0.09166666666666666,0.01416666666666666,2026,2
AUX,original_minus_target,0.1,top1_lemma_accuracy,600,,,,,2026,
AUX,original_minus_identity_shuffle,0.11,top1_lemma_accuracy,600,,,,,2026,
AUX,identity_shuffle_minus_target,-0.01,top1_lemma_accuracy,600,,,,,2026,
AUX,target_minus_r01,-0.03666666666666667,top1_lemma_accuracy,600,,,,,2026,
AUX,target_minus_r02,-0.02666666666666667,top1_lemma_accuracy,600,,,,,2026,
AUX,target_minus_random_mean,-0.03166666666666667,top1_lemma_accuracy,600,2,-0.02666666666666667,-0.03666666666666667,0.004999999999999999,2026,2
AUX,original_minus_target,0.07666666666666666,top3_lemma_accuracy,600,,,,,2026,
AUX,original_minus_identity_shuffle,0.06333333333333334,top3_lemma_accuracy,600,,,,,2026,
AUX,identity_shuffle_minus_target,0.013333333333333334,top3_lemma_accuracy,600,,,,,2026,
AUX,target_minus_r01,-0.028333333333333332,top3_lemma_accuracy,600,,,,,2026,
AUX,target_minus_r02,-0.058333333333333334,top3_lemma_accuracy,600,,,,,2026,
AUX,target_minus_random_mean,-0.043333333333333335,top3_lemma_accuracy,600,2,-0.028333333333333332,-0.058333333333333334,0.015000000000000001,2026,2
AUX,original_minus_target,0.07333333333333333,top5_lemma_accuracy,600,,,,,2026,
AUX,original_minus_identity_shuffle,0.03833333333333333,top5_lemma_accuracy,600,,,,,2026,
AUX,identity_shuffle_minus_target,0.035,top5_lemma_accuracy,600,,,,,2026,
AUX,target_minus_r01,-0.03833333333333333,top5_lemma_accuracy,600,,,,,2026,
AUX,target_minus_r02,-0.06666666666666667,top5_lemma_accuracy,600,,,,,2026,
AUX,target_minus_random_mean,-0.0525,top5_lemma_accuracy,600,2,-0.03833333333333333,-0.06666666666666667,0.014166666666666668,2026,2
AUX,original_minus_target,0.6390853713879672,target_verb_logprob,600,,,,,2027,
AUX,original_minus_identity_shuffle,0.6320749847171828,target_verb_logprob,600,,,,,2027,
AUX,identity_shuffle_minus_target,0.007010386670784404,target_verb_logprob,600,,,,,2027,
AUX,target_minus_r01,-0.4937082549595895,target_verb_logprob,600,,,,,2027,
AUX,target_minus_r02,-0.4993084092104497,target_verb_logprob,600,,,,,2027,
AUX,target_minus_random_mean,-0.4965083320850196,target_verb_logprob,600,2,-0.4937082549595895,-0.4993084092104497,0.0028000771254301227,2027,2
AUX,original_minus_target,0.6436706185271032,target_verb_logprob_sum,600,,,,,2027,
AUX,original_minus_identity_shuffle,0.6396367703952516,target_verb_logprob_sum,600,,,,,2027,
AUX,identity_shuffle_minus_target,0.004033848131851604,target_verb_logprob_sum,600,,,,,2027,
AUX,target_minus_r01,-0.4981860928245199,target_verb_logprob_sum,600,,,,,2027,
AUX,target_minus_r02,-0.5011814005044289,target_verb_logprob_sum,600,,,,,2027,
AUX,target_minus_random_mean,-0.49968374666447446,target_verb_logprob_sum,600,2,-0.4981860928245199,-0.5011814005044289,0.0014976538399545103,2027,2
AUX,original_minus_target,0.10666666666666667,verb_class_accuracy,600,,,,,2027,
AUX,original_minus_identity_shuffle,0.12666666666666668,verb_class_accuracy,600,,,,,2027,
AUX,identity_shuffle_minus_target,-0.02,verb_class_accuracy,600,,,,,2027,
AUX,target_minus_r01,-0.04,verb_class_accuracy,600,,,,,2027,
AUX,target_minus_r02,-0.065,verb_class_accuracy,600,,,,,2027,
AUX,target_minus_random_mean,-0.052500000000000005,verb_class_accuracy,600,2,-0.04,-0.065,0.0125,2027,2
AUX,original_minus_target,0.16850418208915705,class_preference_score,600,,,,,2027,
AUX,original_minus_identity_shuffle,0.12085299877001934,class_preference_score,600,,,,,2027,
AUX,identity_shuffle_minus_target,0.047651183319137744,class_preference_score,600,,,,,2027,
AUX,target_minus_r01,-0.09550002666901318,class_preference_score,600,,,,,2027,
AUX,target_minus_r02,0.012487523837006452,class_preference_score,600,,,,,2027,
AUX,target_minus_random_mean,-0.041506251416003365,class_preference_score,600,2,0.012487523837006452,-0.09550002666901318,0.053993775253009815,2027,1
AUX,original_minus_target,0.11166666666666666,top1_surface_accuracy,600,,,,,2027,
AUX,original_minus_identity_shuffle,0.14,top1_surface_accuracy,600,,,,,2027,
AUX,identity_shuffle_minus_target,-0.028333333333333332,top1_surface_accuracy,600,,,,,2027,
AUX,target_minus_r01,-0.056666666666666664,top1_surface_accuracy,600,,,,,2027,
AUX,target_minus_r02,-0.08333333333333333,top1_surface_accuracy,600,,,,,2027,
AUX,target_minus_random_mean,-0.06999999999999999,top1_surface_accuracy,600,2,-0.056666666666666664,-0.08333333333333333,0.013333333333333332,2027,2
AUX,original_minus_target,0.07666666666666666,top3_surface_accuracy,600,,,,,2027,
AUX,original_minus_identity_shuffle,0.07666666666666666,top3_surface_accuracy,600,,,,,2027,
AUX,identity_shuffle_minus_target,0.0,top3_surface_accuracy,600,,,,,2027,
AUX,target_minus_r01,-0.055,top3_surface_accuracy,600,,,,,2027,
AUX,target_minus_r02,-0.07166666666666667,top3_surface_accuracy,600,,,,,2027,
AUX,target_minus_random_mean,-0.06333333333333334,top3_surface_accuracy,600,2,-0.055,-0.07166666666666667,0.008333333333333335,2027,2
AUX,original_minus_target,0.09666666666666666,top5_surface_accuracy,600,,,,,2027,
AUX,original_minus_identity_shuffle,0.075,top5_surface_accuracy,600,,,,,2027,
AUX,identity_shuffle_minus_target,0.021666666666666667,top5_surface_accuracy,600,,,,,2027,
AUX,target_minus_r01,-0.07333333333333333,top5_surface_accuracy,600,,,,,2027,
AUX,target_minus_r02,-0.065,top5_surface_accuracy,600,,,,,2027,
AUX,target_minus_random_mean,-0.06916666666666667,top5_surface_accuracy,600,2,-0.065,-0.07333333333333333,0.004166666666666666,2027,2
AUX,original_minus_target,0.08166666666666667,top1_lemma_accuracy,600,,,,,2027,
AUX,original_minus_identity_shuffle,0.1,top1_lemma_accuracy,600,,,,,2027,
AUX,identity_shuffle_minus_target,-0.018333333333333333,top1_lemma_accuracy,600,,,,,2027,
AUX,target_minus_r01,-0.03666666666666667,top1_lemma_accuracy,600,,,,,2027,
AUX,target_minus_r02,-0.06666666666666667,top1_lemma_accuracy,600,,,,,2027,
AUX,target_minus_random_mean,-0.051666666666666666,top1_lemma_accuracy,600,2,-0.03666666666666667,-0.06666666666666667,0.015,2027,2
AUX,original_minus_target,0.05333333333333334,top3_lemma_accuracy,600,,,,,2027,
AUX,original_minus_identity_shuffle,0.056666666666666664,top3_lemma_accuracy,600,,,,,2027,
AUX,identity_shuffle_minus_target,-0.0033333333333333335,top3_lemma_accuracy,600,,,,,2027,
AUX,target_minus_r01,-0.03666666666666667,top3_lemma_accuracy,600,,,,,2027,
AUX,target_minus_r02,-0.05333333333333334,top3_lemma_accuracy,600,,,,,2027,
AUX,target_minus_random_mean,-0.045,top3_lemma_accuracy,600,2,-0.03666666666666667,-0.05333333333333334,0.008333333333333335,2027,2
AUX,original_minus_target,0.06333333333333334,top5_lemma_accuracy,600,,,,,2027,
AUX,original_minus_identity_shuffle,0.04833333333333333,top5_lemma_accuracy,600,,,,,2027,
AUX,identity_shuffle_minus_target,0.015,top5_lemma_accuracy,600,,,,,2027,
AUX,target_minus_r01,-0.045,top5_lemma_accuracy,600,,,,,2027,
AUX,target_minus_r02,-0.041666666666666664,top5_lemma_accuracy,600,,,,,2027,
AUX,target_minus_random_mean,-0.043333333333333335,top5_lemma_accuracy,600,2,-0.041666666666666664,-0.045,0.001666666666666667,2027,2
AUX,original_minus_target,1.004377686418593,target_verb_logprob,600,,,,,2028,
AUX,original_minus_identity_shuffle,0.7278039689874276,target_verb_logprob,600,,,,,2028,
AUX,identity_shuffle_minus_target,0.27657371743116527,target_verb_logprob,600,,,,,2028,
AUX,target_minus_r01,-0.7072557328113666,target_verb_logprob,600,,,,,2028,
AUX,target_minus_r02,-0.7694219985449066,target_verb_logprob,600,,,,,2028,
AUX,target_minus_random_mean,-0.7383388656781366,target_verb_logprob,600,2,-0.7072557328113666,-0.7694219985449066,0.031083132866770002,2028,2
AUX,original_minus_target,1.0004848513255518,target_verb_logprob_sum,600,,,,,2028,
AUX,original_minus_identity_shuffle,0.7286585145086671,target_verb_logprob_sum,600,,,,,2028,
AUX,identity_shuffle_minus_target,0.27182633681688456,target_verb_logprob_sum,600,,,,,2028,
AUX,target_minus_r01,-0.706828696799154,target_verb_logprob_sum,600,,,,,2028,
AUX,target_minus_r02,-0.7677424274353931,target_verb_logprob_sum,600,,,,,2028,
AUX,target_minus_random_mean,-0.7372855621172736,target_verb_logprob_sum,600,2,-0.706828696799154,-0.7677424274353931,0.03045686531811953,2028,2
AUX,original_minus_target,0.12,verb_class_accuracy,600,,,,,2028,
AUX,original_minus_identity_shuffle,0.11,verb_class_accuracy,600,,,,,2028,
AUX,identity_shuffle_minus_target,0.01,verb_class_accuracy,600,,,,,2028,
AUX,target_minus_r01,-0.06,verb_class_accuracy,600,,,,,2028,
AUX,target_minus_r02,-0.06666666666666667,verb_class_accuracy,600,,,,,2028,
AUX,target_minus_random_mean,-0.06333333333333332,verb_class_accuracy,600,2,-0.06,-0.06666666666666667,0.003333333333333334,2028,2
AUX,original_minus_target,0.2510291916950405,class_preference_score,600,,,,,2028,
AUX,original_minus_identity_shuffle,0.22706792360866473,class_preference_score,600,,,,,2028,
AUX,identity_shuffle_minus_target,0.023961268086375723,class_preference_score,600,,,,,2028,
AUX,target_minus_r01,0.03353968982833127,class_preference_score,600,,,,,2028,
AUX,target_minus_r02,-0.0014845232928083264,class_preference_score,600,,,,,2028,
AUX,target_minus_random_mean,0.01602758326776147,class_preference_score,600,2,0.03353968982833127,-0.0014845232928083264,0.0175121065605698,2028,1
AUX,original_minus_target,0.13833333333333334,top1_surface_accuracy,600,,,,,2028,
AUX,original_minus_identity_shuffle,0.11,top1_surface_accuracy,600,,,,,2028,
AUX,identity_shuffle_minus_target,0.028333333333333332,top1_surface_accuracy,600,,,,,2028,
AUX,target_minus_r01,-0.10166666666666667,top1_surface_accuracy,600,,,,,2028,
AUX,target_minus_r02,-0.11333333333333333,top1_surface_accuracy,600,,,,,2028,
AUX,target_minus_random_mean,-0.1075,top1_surface_accuracy,600,2,-0.10166666666666667,-0.11333333333333333,0.005833333333333329,2028,2
AUX,original_minus_target,0.11666666666666667,top3_surface_accuracy,600,,,,,2028,
AUX,original_minus_identity_shuffle,0.08,top3_surface_accuracy,600,,,,,2028,
AUX,identity_shuffle_minus_target,0.03666666666666667,top3_surface_accuracy,600,,,,,2028,
AUX,target_minus_r01,-0.08666666666666667,top3_surface_accuracy,600,,,,,2028,
AUX,target_minus_r02,-0.09666666666666666,top3_surface_accuracy,600,,,,,2028,
AUX,target_minus_random_mean,-0.09166666666666667,top3_surface_accuracy,600,2,-0.08666666666666667,-0.09666666666666666,0.0049999999999999975,2028,2
AUX,original_minus_target,0.12333333333333334,top5_surface_accuracy,600,,,,,2028,
AUX,original_minus_identity_shuffle,0.1,top5_surface_accuracy,600,,,,,2028,
AUX,identity_shuffle_minus_target,0.023333333333333334,top5_surface_accuracy,600,,,,,2028,
AUX,target_minus_r01,-0.09333333333333334,top5_surface_accuracy,600,,,,,2028,
