condition,debug,device,elapsed_seconds,epochs,final_dev_loss,final_train_loss,seed
original,False,mps,7167.61,5,2.5794068215136736,2.74945857045485,2026
original,False,mps,7134.63,5,2.6285339534831063,2.787327635652627,2027
original,False,mps,7121.84,5,2.5897641971190604,2.748458637707552,2028
AUX_target_ablation,False,mps,7439.16,5,4.2354698414635505,2.7207028979375742,2026
AUX_target_ablation,False,mps,7154.03,5,4.217735388012365,2.718472776512472,2027
AUX_target_ablation,False,mps,8888.02,5,4.196741248202172,2.7137834918504398,2028
AUX_random_ablation_r01,False,mps,7572.07,5,2.661333856688943,2.657020222158028,2026
AUX_random_ablation_r01,False,mps,7907.32,5,2.665862218578994,2.6632278371408833,2027
AUX_random_ablation_r01,False,mps,7917.72,5,2.7065030232504252,2.675131152221519,2028
AUX_random_ablation_r02,False,mps,7302.51,5,2.731734147686867,2.7079142846940294,2026
AUX_random_ablation_r02,False,mps,7261.92,5,2.6967927739815094,2.679526412375235,2027
AUX_random_ablation_r02,False,mps,7353.84,5,2.683326379266177,2.6593403431914777,2028
AUX_identity_shuffle,False,cpu,13632.15,5,3.2312612451312397,2.847674430280167,2026
AUX_identity_shuffle,False,cpu,13017.64,5,3.21989010790098,2.8444235754597877,2027
AUX_identity_shuffle,False,cpu,17835.53,5,3.226945664557007,2.8203826019703406,2028
